Name,Team,Pos,PA,GROOVE,Damage/BBE,Selectivity (%),Hittable Pitch Take (%),Chase (%),Z-Contact (%),Whiff vs. Secondaries (%),Z-Swing (%),Zone (%)
Josh Kasevich,TOR,SS,3,0.85,0.0,70.0,12.5,12.5,100.0,0.0,83.3,46.2
Austin St. Laurent,SEA,3B,2,0.84,0.0,66.7,0.0,20.0,100.0,,100.0,42.9
Dylan O'Rae,MIL,SS,5,0.84,0.0,71.4,16.7,20.0,100.0,0.0,71.4,70.0
Andrés Chaparro,WSH,1B,145,0.82,42.9,64.7,17.4,29.3,79.4,43.4,70.5,42.4
Will Wilson,SEA,3B,8,0.81,28.6,59.3,0.0,30.0,83.3,57.1,85.7,41.2
Zac Veen,COL,LF,19,0.8,50.0,50.0,17.4,50.0,66.7,22.2,84.0,39.7
Dillon Dingler,DET,C,510,0.8,41.5,60.3,24.6,33.4,91.2,29.9,63.5,46.6
Brandon Nimmo,TEX,RF,520,0.8,39.2,54.1,22.7,28.7,87.4,22.0,71.5,51.6
Logan Porter,LAA,C,6,0.76,60.0,72.2,31.6,18.8,83.3,33.3,50.0,42.9
Jarred Kelenic,TEX,RF,83,0.76,53.7,62.7,21.9,27.4,81.2,45.8,63.2,46.5
Ronald Acuña Jr.,ATL,RF,336,0.75,42.4,60.2,16.7,27.4,80.0,30.0,74.0,43.6
Kade Snell,CHC,OF,5,0.75,0.0,60.0,18.2,11.1,100.0,,66.7,56.2
Chase DeLauter,CLE,RF,460,0.75,43.8,64.0,21.2,21.1,92.4,17.2,64.6,47.8
Curtis Mead,BOS,3B,334,0.74,40.0,66.3,23.8,24.8,91.8,23.0,57.7,47.5
Yandy Díaz,TB,DH,547,0.73,39.0,58.3,23.6,28.6,91.1,11.9,66.6,49.1
Josh Wakefield,HOU,OF,2,0.73,0.0,80.0,11.1,22.2,100.0,,60.0,35.7
Freddie Freeman,LAD,1B,541,0.71,37.9,58.3,17.0,29.2,85.2,23.7,74.3,47.1
Nathan Archer,CWS,OF,3,0.7,0.0,71.4,9.1,0.0,60.0,,83.3,40.0
Mason Lytle,HOU,OF,1,0.7,0.0,80.0,0.0,0.0,50.0,,100.0,33.3
Bryce Eldridge,SF,DH,338,0.68,45.0,64.6,23.2,24.9,83.8,36.8,64.1,46.4
Bryce Harper,PHI,1B,551,0.67,48.4,62.3,16.5,32.8,84.5,34.2,72.7,42.0
Willson Contreras,BOS,1B,489,0.64,47.1,61.2,20.7,33.6,83.0,38.9,67.7,44.3
Heriberto Hernández,MIA,LF,356,0.64,49.1,60.6,20.2,25.0,78.4,40.5,69.9,46.9
Colt Keith,DET,3B,373,0.63,44.6,61.2,22.7,24.3,88.8,32.2,63.9,50.6
Edouard Julien,COL,2B,289,0.63,48.7,63.0,21.0,18.2,85.9,36.0,62.4,50.7
Jordan Walker,STL,RF,537,0.63,50.2,57.8,21.8,35.6,81.9,36.3,71.6,46.5
Ben McLaughlin,AZ,3B,7,0.63,0.0,84.2,30.4,12.5,100.0,0.0,25.0,48.0
Dominic Canzone,SEA,DH,392,0.61,47.1,61.8,23.3,34.3,84.2,33.4,63.3,45.8
Jonathan Aranda,TB,1B,546,0.6,37.2,59.5,23.2,28.7,86.4,17.6,66.0,48.5
Kole Myers,LAD,OF,3,0.6,0.0,42.9,0.0,0.0,75.0,100.0,100.0,100.0
Garrett Mitchell,MIL,CF,427,0.6,55.4,62.6,22.9,22.6,77.0,44.6,66.0,48.6
Bryan Lavastida,ATH,C,2,0.59,0.0,75.0,14.3,14.3,100.0,33.3,66.7,33.3
Luis García Jr.,NYY,1B,442,0.59,36.7,58.0,20.6,38.9,91.8,22.5,70.6,45.1
Josiah Hartshorn,CHC,OF,3,0.59,0.0,75.0,18.2,12.5,66.7,0.0,42.9,46.7
Nathaniel Lowe,CLE,1B,324,0.58,33.0,60.1,24.9,27.6,89.1,24.8,65.3,49.5
Will Banfield,CIN,C,4,0.58,0.0,60.0,0.0,25.0,100.0,25.0,62.5,80.0
Tyler Stephenson,CIN,C,360,0.58,43.4,59.7,24.0,21.8,88.1,30.2,65.8,51.5
Juan Benjamin,CLE,SS,4,0.57,0.0,60.0,14.3,25.0,100.0,,80.0,55.6
Samad Taylor,SD,LF,102,0.56,58.0,65.2,25.6,28.7,80.4,31.0,54.9,47.6
Junior Perez,CWS,CF,36,0.56,34.4,52.0,23.5,28.8,73.1,50.0,71.2,52.5
